,,,upper bound,lower bound,,slow ema,fast ema,,,% return
1h,20000,15,0.996,1.004,7,63,7,256,256,193.745626314439
1h,20000,15,0.996,1.004,7,81,1,389,389,193.524717219571
1h,20000,15,0.996,1.004,7,97,18,140,140,193.519681233061
1h,20000,15,0.996,1.004,7,63,12,205,205,193.321629874273
1h,20000,15,0.996,1.004,7,87,4,253,253,193.306320751841
1h,20000,15,0.996,1.004,7,70,8,225,225,192.951844021935
1h,20000,15,0.996,1.004,7,91,1,372,372,192.910056785886
1h,20000,15,0.996,1.004,7,88,23,138,138,192.805356968399
1h,20000,15,0.996,1.004,7,99,8,181,181,192.760254674848
1h,20000,15,0.996,1.004,7,88,7,208,208,192.661634673815
1h,20000,15,0.996,1.004,7,87,23,142,142,192.407310745721
1h,20000,15,0.996,1.004,7,81,5,242,242,192.236605997577
1h,20000,15,0.996,1.004,7,56,9,243,243,192.195890022314
1h,20000,15,0.996,1.004,7,92,4,241,241,192.161013858979
1h,20000,15,0.996,1.004,7,89,2,310,310,191.659967037779
1h,20000,15,0.996,1.004,7,96,40,118,118,191.54969593703
1h,20000,15,0.996,1.004,7,86,2,313,313,191.387640140743
1h,20000,15,0.996,1.004,7,86,6,220,220,191.216282366481
1h,20000,15,0.996,1.004,7,96,8,181,181,190.926074123104
1h,20000,15,0.996,1.004,7,90,23,138,138,190.869446678393
1h,20000,15,0.996,1.004,7,95,22,135,135,190.776991125433
1h,20000,15,0.996,1.004,7,93,42,125,125,190.72760152808
1h,20000,15,0.996,1.004,7,69,8,223,223,190.588426543088
1h,20000,15,0.996,1.004,7,87,24,137,137,190.53230544137
1h,20000,15,0.996,1.004,7,97,8,184,184,190.416884414985
1h,20000,15,0.996,1.004,7,58,15,202,202,190.402631263668
1h,20000,15,0.996,1.004,7,74,2,341,341,189.999195679864
1h,20000,15,0.996,1.004,7,90,4,246,246,189.887621250742
1h,20000,15,0.996,1.004,7,95,7,195,195,189.82645811759
1h,20000,15,0.996,1.004,7,62,14,194,194,189.739981603442
1h,20000,15,0.996,1.004,7,85,23,141,141,189.371689327456
1h,20000,15,0.996,1.004,7,70,7,231,231,189.343585862619
1h,20000,15,0.996,1.004,7,70,9,219,219,189.308587276809
1h,20000,15,0.996,1.004,7,83,1,371,371,189.304486770433
1h,20000,15,0.996,1.004,7,56,13,215,215,189.268610559159
1h,20000,15,0.996,1.004,7,61,11,216,216,189.245438067692
1h,20000,15,0.996,1.004,7,89,23,139,139,189.232756291701
1h,20000,15,0.996,1.004,7,66,8,228,228,189.2165266579
1h,20000,15,0.996,1.004,7,87,25,138,138,189.101476369119
1h,20000,15,0.996,1.004,7,92,7,197,197,188.797868449498
1h,20000,15,0.996,1.004,7,84,4,250,250,188.741477996282
1h,20000,15,0.996,1.004,7,65,9,224,224,188.586074206415
1h,20000,15,0.996,1.004,7,53,12,225,225,188.452274860812
1h,20000,15,0.996,1.004,7,99,10,166,166,188.452151825696
1h,20000,15,0.996,1.004,7,50,18,209,209,188.418573501608
1h,20000,15,0.996,1.004,7,79,2,339,339,188.345199945144
1h,20000,15,0.996,1.004,7,89,5,230,230,188.335918289975
1h,20000,15,0.996,1.004,7,72,12,189,189,188.289496054729
1h,20000,15,0.996,1.004,7,66,10,213,213,188.1391362754
1h,20000,15,0.996,1.004,7,53,13,221,221,188.109255914323
1h,20000,15,0.996,1.004,7,85,25,140,140,187.884975936208
1h,20000,15,0.996,1.004,7,91,7,198,198,187.815507868393
1h,20000,15,0.996,1.004,7,95,9,180,180,187.79407073023
1h,20000,15,0.996,1.004,7,63,10,219,219,187.6847730513
1h,20000,15,0.996,1.004,7,96,47,116,116,187.547756935518
1h,20000,15,0.996,1.004,7,88,22,139,139,187.413272315007
1h,20000,15,0.996,1.004,7,85,4,252,252,187.283412589725
